year,worldPopulation,perCountryPopulationSum,totalGDPSum,totalStockpiles,totalTerritoryCells
-4760,11776573,11776573,62399.574543644965,8137054.868429888,18068
-4759,11797087,11797087,62431.309993825933,8176922.7994679278,18074
-4758,11817759,11817759,63025.627155153634,8216872.4828509605,18077
-4757,11836853,11836853,62562.676604276763,8256896.2417820757,18079
-4756,11856960,11856960,62427.78587674829,8296969.7923057852,18087
-4755,11876341,11876341,63382.971209965399,8337245.2493083775,18093
-4754,11898111,11898111,62639.558288874694,8377385.3425242249,18098
-4753,11918320,11918320,62877.273228878672,8417776.6878282744,18105
-4752,11939230,11939230,63027.334725048444,8458192.985631926,18108
-4751,11959191,11959191,63240.449387438981,8498772.6811675634,18112
-4750,11980965,11980965,63279.785318747119,8539381.3738092352,18114
-4749,12001956,12001956,63472.068678874006,8580137.2123458087,18115
-4748,12024839,12024839,63473.951230352752,8620916.6152944323,18118
-4747,12045125,12045125,63706.601857887741,8661845.7676320206,18119
-4746,12065727,12065727,63896.788951647068,8702859.873087462,18124
-4745,12085571,12085571,64103.720463543046,8744052.7153297532,18129
-4744,12107802,12107802,64146.13599821856,8785259.1825757772,18132
-4743,12128816,12128816,64329.440830351959,8826648.9861100614,18135
-4742,12151262,12151262,65082.001961769252,8868065.3959264047,18141
-4741,12172934,12172934,64509.058490351315,8909554.7935579922,18144
-4740,12196125,12196125,64559.437292140996,8951050.1446856055,18148
-4739,12218481,12218481,64742.91360039694,8992714.9694031924,18148
-4738,12241095,12241095,65517.182184008991,9034462.6408749819,18149
-4737,12263288,12263288,64924.381793291963,9076264.4999439213,18152
-4736,12286616,12286616,65109.103001571129,9118097.8418070432,18152
-4735,12309870,12309870,66055.365511222597,9160078.7445722539,18153
-4734,12332802,12332802,64177.200536031371,9202227.5291298945,18156
-4733,12355642,12355642,63644.920571072347,9244712.8110247962,18160
-4732,12377362,12377362,64423.488418876179,9287343.3180520367,18161
-4731,12400019,12400019,63669.87579201279,9330035.4724219535,18166
